City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,gravdal,68.1214,13.5031,42.69,93,100,46.04,NO,1675878569
339,requena,39.4883,-1.1004,40.51,96,100,10.07,ES,1675878570
340,plettenberg bay,-34.0527,23.3716,67.33,80,81,16.89,ZA,1675878570
341,najran,17.4924,44.1277,75.85,17,73,3.69,SA,1675878571
342,bandarbeyla,9.4942,50.8122,75.85,79,9,7.96,SO,1675878571
343,banamba,13.55,-7.45,93.51,11,1,8.77,ML,1675878571
344,estelle,29.8458,-90.1067,79.0,77,100,17.27,US,1675878572
345,santa cruz,-17.8,-63.1667,89.65,58,40,14.97,BO,1675878572
346,chicama,-7.8447,-79.1469,77.54,55,58,11.14,PE,1675878573
347,cravo norte,6.3017,-70.2041,93.04,34,35,8.86,CO,1675878573
348,delijan,33.9905,50.6838,37.89,53,94,6.35,IR,1675878574
349,mus,39.0,41.75,12.83,89,100,3.42,TR,1675878574
350,cascais,38.6979,-9.4215,55.94,73,75,15.01,PT,1675878575
351,piterka,50.6803,47.4454,7.77,91,11,5.23,RU,1675878575
352,sur,22.5667,59.5289,78.1,45,46,8.95,OM,1675878576
353,talcahuano,-36.7167,-73.1167,71.28,53,0,3.44,CL,1675878562
354,dhidhdhoo,6.8833,73.1,80.74,69,83,0.89,MV,1675878457
355,stege,54.987,12.2846,35.06,72,78,19.64,DK,1675878577
356,atar,20.5169,-13.0499,78.39,12,100,9.42,MR,1675878577
357,touba,8.2833,-7.6833,91.6,32,97,7.14,CI,1675878577
358,spassk-ryazanskiy,54.4072,40.3806,17.91,93,94,8.16,RU,1675878578
359,touros,-5.1989,-35.4608,85.42,52,94,14.0,BR,1675878286
360,waddan,29.1614,16.139,62.8,24,67,14.2,LY,1675878578
361,batsfjord,70.6345,29.7185,37.33,74,100,54.09,NO,1675878525
362,abalak,58.1286,68.5944,6.03,94,95,8.46,RU,1675878503
363,almaznyy,48.0448,40.045,14.85,92,14,12.53,RU,1675878579
364,bubaque,11.2833,-15.8333,76.84,65,2,12.44,GW,1675878579
365,dargaville,-35.9333,173.8833,60.21,88,18,6.98,NZ,1675878580
366,southbridge,42.0751,-72.0334,45.86,63,9,5.99,US,1675878467
367,puerto leguizamo,-0.1934,-74.7819,83.32,58,89,4.45,CO,1675878580
368,biak,-0.9131,122.8766,75.18,82,100,4.27,ID,1675878581
369,tambacounda,13.7539,-13.7586,100.45,9,0,6.91,SN,1675878582
370,pangnirtung,66.1451,-65.7125,-20.2,63,20,3.44,CA,1675878582
371,tuatapere,-46.1333,167.6833,46.62,86,93,9.84,NZ,1675878381
372,vitim,59.4511,112.5578,3.02,98,100,2.39,RU,1675878583
373,turtas,58.9417,69.1325,7.57,94,100,9.06,RU,1675878583
374,svetlaya,46.5389,138.3297,3.34,68,4,6.4,RU,1675878583
375,tsiroanomandidy,-18.7667,46.0333,69.26,88,98,3.04,MG,1675878584
376,yenagoa,4.9247,6.2642,84.42,65,76,10.2,NG,1675878584
377,anamur,36.0751,32.8369,39.65,48,0,11.01,TR,1675878584
378,warrington,53.3925,-2.5802,43.99,73,0,11.5,GB,1675878369
379,ha tinh,18.3333,105.9,70.81,97,43,2.93,VN,1675878585
380,meulaboh,4.1363,96.1285,75.34,89,100,3.85,ID,1675878585
381,marystown,47.1666,-55.1483,29.55,88,100,13.4,CA,1675878586
382,bayanday,53.0661,105.5139,-6.93,100,83,2.95,RU,1675878586
383,raudeberg,61.9875,5.1352,46.96,75,100,48.41,NO,1675878586
384,adrar,20.5022,-10.0711,74.35,13,100,8.41,MR,1675878587
385,wajid,3.8093,43.2471,85.28,29,4,12.5,SO,1675878587
386,muroto,33.2833,134.15,49.24,63,41,9.73,JP,1675878588
387,yendi,9.4427,-0.0099,96.82,9,71,4.79,GH,1675878588
388,lokosovo,61.1333,74.8167,1.83,92,100,10.87,RU,1675878588
389,piltene,57.2243,21.6744,37.35,93,75,16.11,LV,1675878589
390,klaksvik,62.2266,-6.589,38.32,66,79,30.31,FO,1675878588
391,te anau,-45.4167,167.7167,41.92,83,80,1.54,NZ,1675878589
392,tubuala,9.5167,-79.0333,79.18,83,70,15.75,PA,1675878590
393,valparaiso,-33.0393,-71.6273,71.01,72,75,8.05,CL,1675878547
394,dom pedrito,-30.9828,-54.6731,103.12,13,17,1.25,BR,1675878590
395,taga,46.95,24.05,23.32,91,12,1.48,RO,1675878590
396,laguna,38.421,-121.4238,57.09,86,18,3.94,US,1675878591
397,zhigansk,66.7697,123.3711,-42.79,98,100,7.16,RU,1675878591
398,kentau,43.5206,68.5094,36.32,95,100,3.85,KZ,1675878592
399,manzhouli,49.6,117.4333,-12.71,99,34,3.24,CN,1675878592
400,vung tau,10.346,107.0843,78.28,82,9,22.7,VN,1675878592
401,elizabeth city,36.2946,-76.2511,70.02,51,0,11.5,US,1675878593
402,foix,42.8333,1.5833,37.18,67,55,3.15,FR,1675878593
403,suoyarvi,62.0833,32.35,31.69,95,97,7.52,RU,1675878593
404,lauenburg,53.372,10.5565,35.44,76,26,7.47,DE,1675878594
405,husavik,66.0449,-17.3389,20.75,75,63,12.91,IS,1675878296
